序号,借款方平台用户编号,标的号,标的金额,标的名称,标的描述,标的产品类型,年化利率,还款方式,待还本金,待还利息,固定值STOCK,标的期限
1,2485,LA20141023000002,125000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,125000.00,0,STOCK,1080
2,3468,LA20141027000004,300000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,300000.00,0,STOCK,1080
3,7463,LA20141128000002,150000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,150000.00,0,STOCK,1080
4,8439,LA20141201000011,250000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,250000.00,0,STOCK,1080
5,8850,LA20141203000012,200000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,200000.00,0,STOCK,1080
6,8902,LA20141204000102,168000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,168000.00,0,STOCK,720
7,9186,LA20141208000057,230000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,230000.00,0,STOCK,1080
8,9543,LA20141212000018,126000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,126000.00,0,STOCK,720
9,9876,LA20141212000002,98000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,98000.00,0,STOCK,720
10,11111,LA20141226000009,290000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,290000.00,0,STOCK,1080
11,12828,LA20141230000003,239000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,239000.00,0,STOCK,1080
12,14458,LA20141231000001,270000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,270000.00,0,STOCK,1080
13,16283,LA20150105000005,160000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,160000.00,0,STOCK,1080
14,16304,LA20150106000008,500000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,500000.00,0,STOCK,720
15,17452,LA20150109000021,300000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,300000.00,0,STOCK,1080
16,17547,LA20150112000010,98000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,98000.00,0,STOCK,1080
17,17671,LA20150112000007,190000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,190000.00,0,STOCK,1080
18,18104,LA20150114000008,168000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,168000.00,0,STOCK,1080
19,18386,LA20150116000020,350000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,350000.00,0,STOCK,1080
20,18515,LA20150119000014,150000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,150000.00,0,STOCK,1080
21,18848,LA20150122000003,75000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,75000.00,0,STOCK,1080
22,18990,LA20150127000027,180000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,180000.00,0,STOCK,1080
23,18669,LA20150129000005,395000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,395000.00,0,STOCK,1080
24,19153,LA20150129000008,152000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,152000.00,0,STOCK,1080
25,19129,LA20150130000006,354000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,354000.00,0,STOCK,720
26,19224,LA20150130000013,400000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,400000.00,0,STOCK,720
27,19662,LA20150206000006,405000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,405000.00,0,STOCK,1080
28,19784,LA20150207000001,382000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,382000.00,0,STOCK,1080
29,19991,LA20150208000001,290000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,290000.00,0,STOCK,1080
30,19742,LA20150209000019,285000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,285000.00,0,STOCK,720
31,19888,LA20150211000016,500000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,500000.00,0,STOCK,1080
32,20568,LA20150213000009,500000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,500000.00,0,STOCK,1080
33,20563,LA20150215000004,138000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,138000.00,0,STOCK,1080
34,20970,LA20150215000002,500000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,500000.00,0,STOCK,1080
35,22590,LA20150306000005,260000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,260000.00,0,STOCK,1080
36,22777,LA20150306000008,245000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,245000.00,0,STOCK,1080
37,22524,LA20150310000001,218000.00,友金e富,,STANDARDPOWDER,0.100000000,FIXED_PAYMENT_MORTGAGE,218000.00,0,STOCK,1080
